,links
39,https://www.realtor.com/realestateandhomes-detail/10301-SE-8th-St_Bellevue_WA_98004_M20272-05934
40,https://www.realtor.com/realestateandhomes-detail/30005-224th-Ave-SE_Black-Diamond_WA_98010_M23290-07762
41,https://www.realtor.com/realestateandhomes-detail/Building-Five-Floorplan-N_Upton-at-Crossroads-Village_1495-158th-PL-NE_Bellevue_WA_98008_P415173637106
42,https://www.realtor.com/realestateandhomes-detail/5650-11th-Ave-NE_Seattle_WA_98105_M26030-59576
43,https://www.realtor.com/realestateandhomes-detail/7015-Fremont-Ave-N_Seattle_WA_98103_M27906-35512
44,https://www.realtor.com/realestateandhomes-detail/The-Ruby-Build-On-Your-Lot_East-Puget-Sound_320-SW-Mt-Si-Blvd_North-Bend_WA_98045_P412117811935
45,https://www.realtor.com/realestateandhomes-detail/The-Redwood_Symphony-Ridge_23590-SE-46th-Pl_Sammamish_WA_98075_P414064311950
46,https://www.realtor.com/realestateandhomes-detail/Residence-8_Meadowleaf_4155-236th-Ave-SE_Sammamish_WA_98075_P412758424590
47,https://www.realtor.com/realestateandhomes-detail/5274-44th-Ave-SW_Seattle_WA_98136_M26425-57807
48,https://www.realtor.com/realestateandhomes-detail/11202-SE-218th-Pl_Kent_WA_98031_M27121-58512
49,https://www.realtor.com/realestateandhomes-detail/34805-NE-82nd-Pl_Carnation_WA_98014_M20806-84028?ex=WA617333468
50,https://www.realtor.com/realestateandhomes-detail/7301-30th-Ave-SW_Seattle_WA_98126_M21803-07725
51,https://www.realtor.com/realestateandhomes-detail/3333-NE-8th-St-10_Renton_WA_98056_M27388-62967
52,https://www.realtor.com/realestateandhomes-detail/1505-11th-Ave-Apt-304_Seattle_WA_98122_M13819-43968
53,https://www.realtor.com/realestateandhomes-detail/1026-NE-65th-St-Unit-405_Seattle_WA_98115_M19650-33104
54,https://www.realtor.com/realestateandhomes-detail/36903-SE-Braeburn-St_Snoqualmie_WA_98065_M18472-48514
55,https://www.realtor.com/realestateandhomes-detail/13815-SE-45th-Pl_Bellevue_WA_98006_M25702-55581
56,https://www.realtor.com/realestateandhomes-detail/23516-156th-Ave-SE_Kent_WA_98042_M17938-78977
57,https://www.realtor.com/realestateandhomes-detail/17010-NE-129th-Ct_Redmond_WA_98052_M11758-57621
58,https://www.realtor.com/realestateandhomes-detail/18820-129th-Pl-SE_Renton_WA_98058_M23822-86687
59,https://www.realtor.com/realestateandhomes-detail/12303-SE-60th-St-Apt-1D_Bellevue_WA_98006_M27190-74751
60,https://www.realtor.com/realestateandhomes-detail/1185-Broadway-E-Ste-6_Seattle_WA_98102_M22494-99635
61,https://www.realtor.com/realestateandhomes-detail/27223-SE-188th-St_Issaquah_WA_98027_M28044-26356
62,https://www.realtor.com/realestateandhomes-detail/4028-NE-196th-St_Lake-Forest-Park_WA_98155_M27157-73828
63,https://www.realtor.com/realestateandhomes-detail/4840-40th-Ave-SW_Seattle_WA_98116_M29107-39579
64,https://www.realtor.com/realestateandhomes-detail/4507-Lake-Washington-Blvd-NE_Kirkland_WA_98033_M27639-56184?ex=WA617300524
65,https://www.realtor.com/realestateandhomes-detail/4762-Whitworth-Pl-S-Unit-P101_Renton_WA_98055_M21646-12985
66,https://www.realtor.com/realestateandhomes-detail/26520-NE-70th-St_Redmond_WA_98053_M11093-94835
67,https://www.realtor.com/realestateandhomes-detail/47426-235th-Ave-SE_Enumclaw_WA_98022_M27926-74988
68,https://www.realtor.com/realestateandhomes-detail/24521-SE-43rd-Pl_Issaquah_WA_98029_M11259-20371
69,https://www.realtor.com/realestateandhomes-detail/1414-Lakeside-Ave-S_Seattle_WA_98144_M18318-86386?ex=WA617300424
70,https://www.realtor.com/realestateandhomes-detail/6421-NE-129th-St_Kirkland_WA_98034_M25519-78514
71,https://www.realtor.com/realestateandhomes-detail/21900-SE-242nd-St-Unit-G1_Maple-Valley_WA_98038_M10319-92769
72,https://www.realtor.com/realestateandhomes-detail/4840-48th-Ave-SW_Seattle_WA_98116_M22633-11757
73,https://www.realtor.com/realestateandhomes-detail/11003-Sand-Point-Way-NE_Seattle_WA_98125_M22173-34511
74,https://www.realtor.com/realestateandhomes-detail/588-Bell-St-Unit-3203S_Seattle_WA_98121_M27191-49283
75,https://www.realtor.com/realestateandhomes-detail/19745-10th-Ave-NE_Shoreline_WA_98155_M21925-78369
76,https://www.realtor.com/realestateandhomes-detail/1414-Lakeside-Ave-S_Seattle_WA_98144_M18318-86386?ex=WA617333376
77,https://www.realtor.com/realestateandhomes-detail/23802-SE-253rd-Pl_Maple-Valley_WA_98038_M27026-81774
78,https://www.realtor.com/realestateandhomes-detail/615-6th-St-Apt-405_Kirkland_WA_98033_M23483-08767
79,https://www.realtor.com/realestateandhomes-detail/5621-S-121st-St_Seattle_WA_98178_M17761-37056
80,https://www.realtor.com/realestateandhomes-detail/34805-NE-82nd-Pl_Carnation_WA_98014_M20806-84028?ex=WA617333380
81,https://www.realtor.com/realestateandhomes-detail/4507-Lake-Washington-Blvd-NE_Kirkland_WA_98033_M27639-56184?ex=WA617333540
82,https://www.realtor.com/realestateandhomes-detail/10305-NE-16th-St-Apt-I1_Bellevue_WA_98004_M17664-51517
83,https://www.realtor.com/realestateandhomes-detail/5033-36th-Ave-SW_Seattle_WA_98126_M10228-67628
84,https://www.realtor.com/realestateandhomes-detail/13306-SE-272nd-St-Apt-H104_Kent_WA_98042_M20032-82145
85,https://www.realtor.com/realestateandhomes-detail/14304-36th-Ave-NE_Seattle_WA_98125_M25610-66453
86,https://www.realtor.com/realestateandhomes-detail/28727-13th-Ave-S_Federal-Way_WA_98003_M17745-37250
87,https://www.realtor.com/realestateandhomes-detail/1834-N-51st-St_Seattle_WA_98103_M26805-89887
88,https://www.realtor.com/realestateandhomes-detail/32540-42nd-Pl-SW_Federal-Way_WA_98023_M18699-71660
89,https://www.realtor.com/realestateandhomes-detail/28903-123rd-Way-SE_Auburn_WA_98092_M10841-17949
90,https://www.realtor.com/realestateandhomes-detail/6738-163rd-Pl-SE-Apt-B_Bellevue_WA_98006_M28807-84609
91,https://www.realtor.com/realestateandhomes-detail/4845-NE-5th-St_Renton_WA_98059_M12679-80957
92,https://www.realtor.com/realestateandhomes-detail/4129-SE-158th-St_Bellevue_WA_98006_M10687-03849
93,https://www.realtor.com/realestateandhomes-detail/4858-S-Orcas-St_Seattle_WA_98118_M15659-40877
94,https://www.realtor.com/realestateandhomes-detail/26917-218th-Ave-SE_Maple-Valley_WA_98038_M18061-50141
95,https://www.realtor.com/realestateandhomes-detail/320-NE-91st-St_Seattle_WA_98115_M21555-83438
96,https://www.realtor.com/realestateandhomes-detail/16430-NE-133rd-Ct_Redmond_WA_98052_M12685-11240
97,https://www.realtor.com/realestateandhomes-detail/1004-4th-St-NE_Auburn_WA_98002_M12049-51286
98,https://www.realtor.com/realestateandhomes-detail/1900-Taylor-Ave-N-Jps10_Seattle_WA_98109_M15280-80083
99,https://www.realtor.com/realestateandhomes-detail/11722-Dayton-Ave-N_Seattle_WA_98133_M20226-45855
100,https://www.realtor.com/realestateandhomes-detail/11817-NE-162nd-Ct_Bothell_WA_98011_M25729-39187
101,https://www.realtor.com/realestateandhomes-detail/15234-186th-Ave-NE_Woodinville_WA_98072_M25713-34551
102,https://www.realtor.com/realestateandhomes-detail/24128-SE-46th-Pl_Issaquah_WA_98029_M20724-86684
103,https://www.realtor.com/realestateandhomes-detail/814-NW-Carkeek-Park-Rd_Seattle_WA_98177_M22995-68890
104,https://www.realtor.com/realestateandhomes-detail/2716-Elliott-Ave-Apt-701_Seattle_WA_98121_M25300-00292
105,https://www.realtor.com/realestateandhomes-detail/215-5th-Ave-301_Kirkland_WA_98033_M15639-34811
106,https://www.realtor.com/realestateandhomes-detail/4102-47th-Ave-SW_Seattle_WA_98116_M23540-90554
107,https://www.realtor.com/realestateandhomes-detail/7480-S-116th-St_Seattle_WA_98178_M23746-59764
108,https://www.realtor.com/realestateandhomes-detail/21900-SE-242nd-St-Unit-A2_Maple-Valley_WA_98038_M22088-09199?ex=WA616434308
109,https://www.realtor.com/realestateandhomes-detail/23607-108th-Ave-SE_Kent_WA_98031_M20117-39345
110,https://www.realtor.com/realestateandhomes-detail/1044-SW-152nd-St_Burien_WA_98166_M18490-46390
111,https://www.realtor.com/realestateandhomes-detail/21223-SE-35th-Way_Sammamish_WA_98075_M13315-24280
112,https://www.realtor.com/realestateandhomes-detail/2737-S-120th-Pl_Seattle_WA_98168_M27187-39358
113,https://www.realtor.com/realestateandhomes-detail/42919-SE-172nd-Pl_North-Bend_WA_98045_M25301-95029
114,https://www.realtor.com/realestateandhomes-detail/30311-13th-Ave-S_Federal-Way_WA_98003_M20478-14184
115,https://www.realtor.com/realestateandhomes-detail/21900-SE-242nd-St-Unit-A2_Maple-Valley_WA_98038_M22088-09199?ex=WA617331076
116,https://www.realtor.com/realestateandhomes-detail/2125-Westlake-Ave-N-Unit-301_Seattle_WA_98109_M12737-51001
117,https://www.realtor.com/realestateandhomes-detail/20101-330th-Ave-NE_Duvall_WA_98019_M14663-47202
118,https://www.realtor.com/realestateandhomes-detail/4306-SW-Walker-St_Seattle_WA_98116_M22019-12921
119,https://www.realtor.com/realestateandhomes-detail/1225-Nile-Ave-NE_Renton_WA_98059_M15661-77616
120,https://www.realtor.com/realestateandhomes-detail/2218-NW-61st-St-C_Seattle_WA_98107_M15610-34916
121,https://www.realtor.com/realestateandhomes-detail/12537-27th-Ave-NE_Seattle_WA_98125_M29514-46614
122,https://www.realtor.com/realestateandhomes-detail/3010-31st-Ave-W-A_Seattle_WA_98199_M10888-62676
123,https://www.realtor.com/realestateandhomes-detail/20-210th-Pl-NE_Sammamish_WA_98074_M24272-82943
124,https://www.realtor.com/realestateandhomes-detail/315-Anacortes-Pl-NE_Renton_WA_98059_M26566-60106?ex=WA617331016
125,https://www.realtor.com/realestateandhomes-detail/1610-Belmont-Ave-Apt-306_Seattle_WA_98122_M27485-51746
126,https://www.realtor.com/realestateandhomes-detail/315-Anacortes-Pl-NE_Renton_WA_98059_M26566-60106?ex=WA616619600
127,https://www.realtor.com/realestateandhomes-detail/36928-Pacific-Hwy-S_Federal-Way_WA_98003_M28739-28042
128,https://www.realtor.com/realestateandhomes-detail/4101-356th-Dr-SE_Fall-City_WA_98024_M20567-92127
129,https://www.realtor.com/realestateandhomes-detail/7619-NE-16th-St_Medina_WA_98039_M26763-30715
130,https://www.realtor.com/realestateandhomes-detail/6126-37th-Ave-NW_Seattle_WA_98107_M24732-71042
131,https://www.realtor.com/realestateandhomes-detail/4125-44th-Ave-SW_Seattle_WA_98116_M24691-51336
132,https://www.realtor.com/realestateandhomes-detail/1795-272nd-Pl-SE_Sammamish_WA_98075_M11778-04528
133,https://www.realtor.com/realestateandhomes-detail/2125-Burnett-Pl-S_Renton_WA_98055_M18507-50810
134,https://www.realtor.com/realestateandhomes-detail/721-N-87th-St_Seattle_WA_98103_M13986-81177
135,https://www.realtor.com/realestateandhomes-detail/26816-SE-432nd-St_Enumclaw_WA_98022_M17069-23195
136,https://www.realtor.com/realestateandhomes-detail/19911-26th-Ave-NW_Shoreline_WA_98177_M24090-70231
137,https://www.realtor.com/realestateandhomes-detail/2406-246th-Pl-NE_Redmond_WA_98074_M16241-74430
138,https://www.realtor.com/realestateandhomes-detail/1004-147th-Ave-SE_Bellevue_WA_98007_M25105-06199
139,https://www.realtor.com/realestateandhomes-detail/360-NE-Serpentine-Pl_Shoreline_WA_98155_M24230-12768
140,https://www.realtor.com/realestateandhomes-detail/38208-274th-Ave-SE_Enumclaw_WA_98022_M24372-74770
141,https://www.realtor.com/realestateandhomes-detail/1728-NW-58th-St-B_Seattle_WA_98107_M11738-19824
142,https://www.realtor.com/realestateandhomes-detail/601-W-Mercer-Pl-Apt-305_Seattle_WA_98119_M11258-12945
143,https://www.realtor.com/realestateandhomes-detail/29502-4th-Ave-S_Federal-Way_WA_98003_M29492-40067
144,https://www.realtor.com/realestateandhomes-detail/7710-S-Mission-Dr_Seattle_WA_98178_M20668-24186
145,https://www.realtor.com/realestateandhomes-detail/15402-NE-176th-Pl_Woodinville_WA_98072_M17728-53801
146,https://www.realtor.com/realestateandhomes-detail/13026-87th-Ave-NE_Kirkland_WA_98034_M12882-25626
147,https://www.realtor.com/realestateandhomes-detail/2720-S-120th-Pl_Burien_WA_98168_M27187-02092
148,https://www.realtor.com/realestateandhomes-detail/12415-NE-130th-Ct_Kirkland_WA_98034_M11625-36069
149,https://www.realtor.com/realestateandhomes-detail/20340-85th-Pl-NE-7_Bothell_WA_98011_M27188-13889
150,https://www.realtor.com/realestateandhomes-detail/6020-SW-Admiral-Way_Seattle_WA_98116_M26757-71726
151,https://www.realtor.com/realestateandhomes-detail/21281-40th-Pl-S-51_Seatac_WA_98198_M15211-02303?ex=WA617330900
152,https://www.realtor.com/realestateandhomes-detail/900-228th-Ave-NE-Unit-17C_Sammamish_WA_98074_M21126-77588
153,https://www.realtor.com/realestateandhomes-detail/8430-26th-Ave-SW-Apt-D_Seattle_WA_98106_M25361-56814?ex=WA616097164
154,https://www.realtor.com/realestateandhomes-detail/10209-35th-Ave-SW_Seattle_WA_98146_M26317-44202
155,https://www.realtor.com/realestateandhomes-detail/2218-N-38th-St_Seattle_WA_98103_M17255-18014
156,https://www.realtor.com/realestateandhomes-detail/11353-SE-211th-Ln-Apt-71_Kent_WA_98031_M26742-06556
157,https://www.realtor.com/realestateandhomes-detail/13301-SE-79th-Pl-Unit-B407_Newcastle_WA_98059_M19647-19048
158,https://www.realtor.com/realestateandhomes-detail/4108-54th-Ave-SW_Seattle_WA_98116_M20991-75060
159,https://www.realtor.com/realestateandhomes-detail/920-291st-Ave-NE_Carnation_WA_98014_M14520-42858?ex=WA617330440
160,https://www.realtor.com/realestateandhomes-detail/102-NE-64th-St_Seattle_WA_98115_M16993-98440?ex=WA617333740
161,https://www.realtor.com/realestateandhomes-detail/37901-183rd-Ave-SE_Auburn_WA_98092_M21937-21202
162,https://www.realtor.com/realestateandhomes-detail/10601-Sand-Point-Way-NE_Seattle_WA_98125_M20912-97058
163,https://www.realtor.com/realestateandhomes-detail/6023-47th-Ave-SW_Seattle_WA_98136_M29683-30715
164,https://www.realtor.com/realestateandhomes-detail/7971-Seward-Park-Ave-S_Seattle_WA_98118_M27593-58014
165,https://www.realtor.com/realestateandhomes-detail/4034-SW-328th-St_Federal-Way_WA_98023_M27495-12804
166,https://www.realtor.com/realestateandhomes-detail/3062-61st-Ave-SW_Seattle_WA_98116_M26759-95321
167,https://www.realtor.com/realestateandhomes-detail/20211-SE-416th-St_Enumclaw_WA_98022_M11443-90461
168,https://www.realtor.com/realestateandhomes-detail/910-N-28th-Pl_Renton_WA_98056_M21911-02956
169,https://www.realtor.com/realestateandhomes-detail/102-NE-64th-St_Seattle_WA_98115_M16993-98440?ex=WA617330984
170,https://www.realtor.com/realestateandhomes-detail/3209-Juneau_West-Seattle_WA_98126_M26742-81088
171,https://www.realtor.com/realestateandhomes-detail/3032-NE-7th-St_Renton_WA_98056_M17686-13188
172,https://www.realtor.com/realestateandhomes-detail/13585NE-202nd-St_Woodinville_WA_98072_M26764-42513
173,https://www.realtor.com/realestateandhomes-detail/15325-SE-155th-Pl-Unit-I1_Renton_WA_98058_M25578-12762
174,https://www.realtor.com/realestateandhomes-detail/6030-SW-Admiral-Way_Seattle_WA_98116_M26759-20790
175,https://www.realtor.com/realestateandhomes-detail/8206-California-Ave-SW_Seattle_WA_98136_M17375-59285
176,https://www.realtor.com/realestateandhomes-detail/8430-26th-Ave-SW-Apt-D_Seattle_WA_98106_M25361-56814?ex=WA617330928
177,https://www.realtor.com/realestateandhomes-detail/13306-SE-272nd-St-Apt-I302_Kent_WA_98042_M14330-72751
178,https://www.realtor.com/realestateandhomes-detail/21281-40th-Pl-S-51_Seatac_WA_98198_M15211-02303?ex=WA617330896
179,https://www.realtor.com/realestateandhomes-detail/1840-211th-Ct-NE_Sammamish_WA_98074_M21936-03626
180,https://www.realtor.com/realestateandhomes-detail/14641-NE-3rd-St_Bellevue_WA_98007_M28608-54268
181,https://www.realtor.com/realestateandhomes-detail/15212-SE-178th-Pl_Renton_WA_98058_M29230-70448
182,https://www.realtor.com/realestateandhomes-detail/13613-SE-170th-St_Renton_WA_98058_M10186-35575
183,https://www.realtor.com/realestateandhomes-detail/26226-42nd-Ave-S_Kent_WA_98032_M14707-61917
184,https://www.realtor.com/realestateandhomes-detail/601-S-227th-St-Apt-310N_Des-Moines_WA_98198_M27478-02423
185,https://www.realtor.com/realestateandhomes-detail/1801-28th-Ave-S-Apt-A_Seattle_WA_98144_M11060-47291?ex=WA617295636
186,https://www.realtor.com/realestateandhomes-detail/6785-SE-2nd-St_Renton_WA_98059_M26877-16058
187,https://www.realtor.com/realestateandhomes-detail/23651-NE-15th-Pl_Sammamish_WA_98074_M11937-57103
188,https://www.realtor.com/realestateandhomes-detail/18164-Normandy-Ter-SW_Normandy-Park_WA_98166_M24952-31535
189,https://www.realtor.com/realestateandhomes-detail/3345-Sahalee-Way-NE_Sammamish_WA_98074_M28813-31889
190,https://www.realtor.com/realestateandhomes-detail/9406-S-245th-Pl_Kent_WA_98030_M26756-59928
191,https://www.realtor.com/realestateandhomes-detail/15534-156th-Ct-SE_Renton_WA_98058_M18022-85336
192,https://www.realtor.com/realestateandhomes-detail/10216-132nd-Ave-NE_Kirkland_WA_98033_M12751-27794
193,https://www.realtor.com/realestateandhomes-detail/920-291st-Ave-NE_Carnation_WA_98014_M14520-42858?ex=WA617330380
194,https://www.realtor.com/realestateandhomes-detail/6016-SW-Admiral-Way_Seattle_WA_98116_M23640-82534
195,https://www.realtor.com/realestateandhomes-detail/13736-209th-Ave-NE_Woodinville_WA_98077_M27720-02541
196,https://www.realtor.com/realestateandhomes-detail/1003-SW-Elmgrove-St_Seattle_WA_98106_M27336-01470
197,https://www.realtor.com/realestateandhomes-detail/901-Sunset-Blvd-NE-Apt-D113_Renton_WA_98056_M10575-60814
198,https://www.realtor.com/realestateandhomes-detail/1330-S-Shelton-St_Seattle_WA_98108_M23426-01607
199,https://www.realtor.com/realestateandhomes-detail/1801-28th-Ave-S-Apt-A_Seattle_WA_98144_M11060-47291?ex=WA617330752
200,https://www.realtor.com/realestateandhomes-detail/9828-62nd-Ave-S_Seattle_WA_98118_M26296-52938
201,https://www.realtor.com/realestateandhomes-detail/20211-3rd-Ave-S_Des-Moines_WA_98198_M27736-99807
202,https://www.realtor.com/realestateandhomes-detail/7711-NE-175th-St-Unit-F103_Kenmore_WA_98028_M12454-95866
203,https://www.realtor.com/realestateandhomes-detail/1414-12th-Ave-Unit-308_Seattle_WA_98122_M10947-49413
204,https://www.realtor.com/realestateandhomes-detail/11215-Greenwood-Ave-N-Unit-A_Seattle_WA_98133_M29322-21423
205,https://www.realtor.com/realestateandhomes-detail/6527-38th-Ave-SW_Seattle_WA_98126_M23097-03484
206,https://www.realtor.com/realestateandhomes-detail/21218-SE-271st-St_Maple-Valley_WA_98038_M24952-15087
207,https://www.realtor.com/realestateandhomes-detail/3250-21st-Ave-W-B_Seattle_WA_98199_M20605-64943
208,https://www.realtor.com/realestateandhomes-detail/19731-SE-Wax-Rd_Maple-Valley_WA_98038_M19522-24412
209,https://www.realtor.com/realestateandhomes-detail/2736-34th-Ave-S_Seattle_WA_98144_M17086-56658
210,https://www.realtor.com/realestateandhomes-detail/21268-40th-Way-S_Seatac_WA_98198_M18110-98562
211,https://www.realtor.com/realestateandhomes-detail/16404-NE-6th-St_Bellevue_WA_98008_M27527-45678?ex=WA617333372
212,https://www.realtor.com/realestateandhomes-detail/2628-S-276th-St_Federal-Way_WA_98003_M22979-96720
213,https://www.realtor.com/realestateandhomes-detail/214-Summit-Ave-E-Apt-407_Seattle_WA_98102_M19002-11702
214,https://www.realtor.com/realestateandhomes-detail/3927-2nd-Ave-NE_Seattle_WA_98105_M10135-75110
215,https://www.realtor.com/realestateandhomes-detail/26312-187th-Ct-SE_Covington_WA_98042_M21853-27438
216,https://www.realtor.com/realestateandhomes-detail/407-N-49th-St_Seattle_WA_98103_M27191-12017
217,https://www.realtor.com/realestateandhomes-detail/2415-S-Grand-St_Seattle_WA_98144_M27097-48118
218,https://www.realtor.com/realestateandhomes-detail/2627-NW-56th-St_Seattle_WA_98107_M29931-97768
219,https://www.realtor.com/realestateandhomes-detail/110-SW-116th-St-22_Seattle_WA_98146_M18992-43888
220,https://www.realtor.com/realestateandhomes-detail/5133-NE-55th-St_Seattle_WA_98105_M21589-40705
221,https://www.realtor.com/realestateandhomes-detail/212-218th-Pl-SE_Sammamish_WA_98074_M21111-07926
222,https://www.realtor.com/realestateandhomes-detail/20231-78th-Pl-NE_Kenmore_WA_98028_M12096-64128
223,https://www.realtor.com/realestateandhomes-detail/801-W-Barrett-St_Seattle_WA_98119_M29607-22349
224,https://www.realtor.com/realestateandhomes-detail/32860-NE-42nd-St_Carnation_WA_98014_M19347-60687
225,https://www.realtor.com/realestateandhomes-detail/28113-128th-Ct-SE_Kent_WA_98030_M25758-36362
226,https://www.realtor.com/realestateandhomes-detail/15151-NE-81st-Way-Unit-105_Redmond_WA_98052_M18225-15821?ex=WA617333116
227,https://www.realtor.com/realestateandhomes-detail/16404-NE-6th-St_Bellevue_WA_98008_M27527-45678?ex=WA617330980
228,https://www.realtor.com/realestateandhomes-detail/526-1st-Ave-S-Apt-210_Seattle_WA_98104_M16408-65017
229,https://www.realtor.com/realestateandhomes-detail/1904-N-140th-St_Seattle_WA_98133_M10436-81957
230,https://www.realtor.com/realestateandhomes-detail/13501-433rd-Pl-SE_North-Bend_WA_98045_M28403-62801
231,https://www.realtor.com/realestateandhomes-detail/1855-Trossachs-Blvd-SE-Unit-406_Sammamish_WA_98075_M28425-62011
232,https://www.realtor.com/realestateandhomes-detail/6702-139th-Ave-NE-Apt-748_Redmond_WA_98052_M21722-13890
233,https://www.realtor.com/realestateandhomes-detail/17310-34th-Ave-S_Seatac_WA_98188_M22478-58467
234,https://www.realtor.com/realestateandhomes-detail/12683-SE-161st-St_Renton_WA_98058_M12150-69616
235,https://www.realtor.com/realestateandhomes-detail/3900-Whitman-Ave-N_Seattle_WA_98103_M10309-85979
236,https://www.realtor.com/realestateandhomes-detail/10398-NE-17th-St-Unit-206_Bellevue_WA_98004_M21561-80732?ex=WA617333436
237,https://www.realtor.com/realestateandhomes-detail/300-Mt-Baker-Pl-NE_Renton_WA_98059_M14910-21382
238,https://www.realtor.com/realestateandhomes-detail/4331-Issaquah-Pine-Lake-Rd-SE-Unit-1204_Sammamish_WA_98075_M11394-60625
239,https://www.realtor.com/realestateandhomes-detail/3722-SW-102nd-St_Seattle_WA_98146_M26634-51925
240,https://www.realtor.com/realestateandhomes-detail/15151-NE-81st-Way-Unit-105_Redmond_WA_98052_M18225-15821?ex=WA617025800
241,https://www.realtor.com/realestateandhomes-detail/925-110th-Ave-NE_Bellevue_WA_98004_M26764-05247
242,https://www.realtor.com/realestateandhomes-detail/1522-5th-Pl_Kirkland_WA_98033_M22789-19889
243,https://www.realtor.com/realestateandhomes-detail/16509-NE-128th-St_Redmond_WA_98052_M12887-24605
244,https://www.realtor.com/realestateandhomes-detail/11229-NE-128th-St-Apt-H201_Kirkland_WA_98034_M16832-39113
